run,x,y,core,time/s
mpi,1600,1600,16,0.132526
pth,1600,1600,16,0.159764
pth,1600,1600,2,0.276426
pth,1600,1600,32,0.135659
pth,1600,1600,4,0.244902
pth,1600,1600,8,0.200544
pth,200,200,16,0.004432
pth,200,200,2,0.007259
pth,200,200,32,0.007468
pth,200,200,4,0.006396
pth,200,200,8,0.004817
pth,3200,3200,16,0.522164
pth,3200,3200,2,1.06325
pth,3200,3200,32,0.461974
pth,3200,3200,4,0.897086
pth,3200,3200,8,0.686385
pth,400,400,16,0.012474
pth,400,400,2,0.029168
pth,400,400,32,0.020563
pth,400,400,4,0.026037
pth,400,400,8,0.020279
mpi,1600,1600,16,0.136019
mpi,1600,1600,2,0.275207
mpi,1600,1600,32,0.088122
mpi,1600,1600,4,0.237549
mpi,200,200,16,0.031595
mpi,1600,1600,8,0.171574
mpi,200,200,2,0.006851
mpi,200,200,32,0.02934
mpi,200,200,4,0.005735
mpi,200,200,8,0.005706
mpi,3200,3200,16,0.504935
mpi,3200,3200,2,1.05201
mpi,3200,3200,32,0.621227
mpi,3200,3200,4,0.900588
mpi,3200,3200,8,0.661939
mpi,400,400,16,0.026762
mpi,400,400,2,0.025449
mpi,400,400,32,0.024121
mpi,400,400,4,0.02426
mpi,400,400,8,0.023147
seq,1600,1600,1,0.496406
seq,200,200,1,0.012467
seq,3200,3200,1,1.5762
seq,400,400,1,0.044289
mpi,10000,10000,4,7.43717
seq,20000,20000,1,59.3007
seq,20000,20000,1,56.078
mpi,12000,12000,4,10.0194
mpi,12800,12800,16,5.18763
mpi,12800,12800,2,12.9878
mpi,12800,12800,32,6.83088
mpi,12800,12800,4,11.5085
mpi,12800,12800,64,3.72472
mpi,12800,12800,8,9.918
mpi,14800,14800,16,7.80093
mpi,14800,14800,32,7.78321
mpi,14800,14800,64,4.97073
mpi,14800,14800,8,11.6283
mpi,1600,1600,16,0.117052
mpi,1600,1600,2,0.275807
mpi,1600,1600,32,0.104077
mpi,1600,1600,4,0.235832
mpi,1600,1600,64,0.057882
mpi,1600,1600,8,0.181258
mpi,200,200,16,0.010482
mpi,200,200,2,0.007468
mpi,200,200,32,0.033428
mpi,200,200,4,0.005971
mpi,200,200,64,0.024507
mpi,200,200,8,0.018826
mpi,3200,3200,16,0.488158
mpi,3200,3200,2,1.02563
mpi,3200,3200,32,0.381603
mpi,3200,3200,4,0.834653
