run,N,period,dt,core,size,time
ompi,200,1,0.001,4,0,2.03999
ompi,50,1,0.001,4,3,11.2027
ompi,50,1,0.001,4,4,17.5662
ompi,100,1,0.001,4,1,0.655295
ompi,100,1,0.001,4,2,5.30271
ompi,100,1,0.001,4,3,11.8975
ompi,100,1,0.001,4,4,17.7257
ompi,200,1,0.001,4,1,2.58304
ompi,200,1,0.001,4,2,7.10739
ompi,200,1,0.001,4,3,13.2226
ompi,200,1,0.001,4,4,19.1125
ompi,400,1,0.001,4,1,9.1129
ompi,400,1,0.001,4,2,13.4363
ompi,400,1,0.001,4,3,18.9892
ompi,400,1,0.001,4,4,24.0279
ompi,50,1,0.001,4,1,0.190717
ompi,50,1,0.001,4,2,5.11525
ompi,50,1,0.001,4,3,11.556
ompi,800,1,0.001,4,1,36.2348
ompi,800,1,0.001,4,2,34.0697
ompi,800,1,0.001,4,3,38.402
ompi,800,1,0.001,4,4,45.04186
ompi,1600,1,0.001,4,10,108.161
ompi,1600,1,0.001,4,11,113.256
ompi,1600,1,0.001,4,12,112.026
ompi,1600,1,0.001,4,16,112.809
ompi,1600,1,0.001,4,18,112.009
ompi,1600,1,0.001,4,2,113.884
ompi,1600,1,0.001,4,3,114.179
ompi,1600,1,0.001,4,4,118.053
ompi,1600,1,0.001,4,5,124.308
ompi,1600,1,0.001,4,6,111.461
ompi,1600,1,0.001,4,7,111.242
ompi,1600,1,0.001,4,8,108.353
ompi,1600,1,0.001,4,9,110.147
ompi,200,1,0.001,4,10,7.66457
ompi,200,1,0.001,4,11,8.92482
ompi,200,1,0.001,4,12,9.151
ompi,200,1,0.001,4,16,8.94943
ompi,200,1,0.001,4,18,9.44186
ompi,200,1,0.001,4,1,2.64262
ompi,200,1,0.001,4,2,7.13488
ompi,200,1,0.001,4,3,13.3732
ompi,200,1,0.001,4,4,19.2457
ompi,200,1,0.001,4,5,24.3994
ompi,200,1,0.001,4,6,7.96508
ompi,200,1,0.001,4,7,8.07487
ompi,200,1,0.001,4,8,7.98771
ompi,200,1,0.001,4,9,8.81486
ompi,400,1,0.001,4,10,14.766
ompi,400,1,0.001,4,11,15.2267
ompi,400,1,0.001,4,12,15.5937
ompi,400,1,0.001,4,16,15.7726
ompi,400,1,0.001,4,18,15.5933
ompi,400,1,0.001,4,1,9.06149
ompi,400,1,0.001,4,2,13.2944
ompi,400,1,0.001,4,3,18.6569
ompi,400,1,0.001,4,4,24.4148
ompi,400,1,0.001,4,5,29.1153
ompi,400,1,0.001,4,6,14.5925
ompi,400,1,0.001,4,7,14.3403
ompi,400,1,0.001,4,8,13.831
ompi,400,1,0.001,4,9,14.5889
ompi,50,1,0.001,4,10,1.06592
ompi,50,1,0.001,4,11,0.954726
ompi,50,1,0.001,4,12,0.879706
ompi,50,1,0.001,4,16,1.16908
ompi,50,1,0.001,4,18,1.10728
ompi,50,1,0.001,4,1,0.172021
ompi,50,1,0.001,4,2,5.05579
ompi,50,1,0.001,4,3,11.7001
ompi,50,1,0.001,4,4,18.0019
ompi,50,1,0.001,4,5,23.485
ompi,50,1,0.001,4,6,0.693514
ompi,50,1,0.001,4,7,0.900688
ompi,50,1,0.001,4,8,1.07663
ompi,50,1,0.001,4,9,0.941334
ompi,800,1,0.001,4,10,34.4757
ompi,800,1,0.001,4,11,35.2414
ompi,800,1,0.001,4,12,35.4024
ompi,800,1,0.001,4,16,34.9851
ompi,800,1,0.001,4,18,35.8532
ompi,800,1,0.001,4,1,41.9407
ompi,800,1,0.001,4,2,33.6771
ompi,800,1,0.001,4,3,36.7638
ompi,800,1,0.001,4,4,43.2922
ompi,800,1,0.001,4,5,47.512
ompi,800,1,0.001,4,6,35.6919
ompi,800,1,0.001,4,7,36.7446
ompi,800,1,0.001,4,8,37.7147
ompi,800,1,0.001,4,9,37.6812
ompi,1600,1,0.001,4,10,51.1149
ompi,1600,1,0.001,4,11,49.1733
ompi,1600,1,0.001,4,12,49.3508
ompi,1600,1,0.001,4,16,46.8693
ompi,1600,1,0.001,4,18,46.126
ompi,1600,1,0.001,4,2,115.077
ompi,1600,1,0.001,4,3,80.3865
ompi,1600,1,0.001,4,4,61.5482
ompi,1600,1,0.001,4,5,50.3881
ompi,1600,1,0.001,4,6,55.3191
ompi,1600,1,0.001,4,7,55.3743
ompi,1600,1,0.001,4,8,51.8023
ompi,1600,1,0.001,4,9,50.6847
ompi,200,1,0.001,4,10,3.82878
ompi,200,1,0.001,4,11,4.37317
ompi,200,1,0.001,4,12,4.06071
ompi,200,1,0.001,4,16,3.76037
ompi,200,1,0.001,4,18,3.66005
ompi,200,1,0.001,4,1,8.29332
ompi,200,1,0.001,4,2,3.08888
ompi,200,1,0.001,4,3,4.82524
ompi,200,1,0.001,4,4,1.9203
ompi,200,1,0.001,4,5,2.19612
ompi,200,1,0.001,4,6,4.45055
ompi,200,1,0.001,4,7,3.59448
ompi,200,1,0.001,4,8,4.32006
ompi,200,1,0.001,4,9,3.89466
ompi,400,1,0.001,4,10,6.94881
ompi,400,1,0.001,4,11,6.49273
ompi,400,1,0.001,4,12,6.89122
ompi,400,1,0.001,4,16,6.11958
ompi,400,1,0.001,4,18,6.33179
ompi,400,1,0.001,4,1,17.4888
ompi,400,1,0.001,4,2,9.56428
ompi,400,1,0.001,4,3,9.47862
ompi,400,1,0.001,4,4,5.14503
ompi,400,1,0.001,4,5,4.08957
ompi,400,1,0.001,4,6,6.34091
ompi,400,1,0.001,4,7,6.65113
ompi,400,1,0.001,4,8,6.47202
ompi,400,1,0.001,4,9,6.41337
ompi,50,1,0.001,4,10,5.81334
ompi,50,1,0.001,4,11,4.27931
ompi,50,1,0.001,4,12,7.38819
ompi,50,1,0.001,4,16,2.80285
ompi,50,1,0.001,4,18,3.189
ompi,50,1,0.001,4,1,12.1402
ompi,50,1,0.001,4,2,4.09277
ompi,50,1,0.001,4,3,3.11252
ompi,50,1,0.001,4,4,1.67911
ompi,50,1,0.001,4,5,1.28733
ompi,50,1,0.001,4,6,2.72927
ompi,50,1,0.001,4,7,4.83406
ompi,50,1,0.001,4,8,7.27963
ompi,50,1,0.001,4,9,7.41985
ompi,800,1,0.001,4,10,15.0247
ompi,800,1,0.001,4,11,14.844
ompi,800,1,0.001,4,12,15.6986
ompi,800,1,0.001,4,16,14.185
ompi,800,1,0.001,4,18,13.8789
ompi,800,1,0.001,4,1,48.9228
ompi,800,1,0.001,4,2,27.5439
ompi,800,1,0.001,4,3,20.5865
ompi,800,1,0.001,4,4,15.4419
ompi,800,1,0.001,4,5,13.6069
ompi,800,1,0.001,4,6,16.3659
ompi,800,1,0.001,4,7,16.3263
ompi,800,1,0.001,4,8,16.3966
ompi,800,1,0.001,4,9,15.2928
