run,N,period,dt,size,time
pth,200,1,0.001,4,11.1963
pth,200,1,0.001,4,10.5884
pth,20,1,0.001,4,0.564503
pth,20,1,0.001,2,0.806259
pth,100,1,0.001,10,1.86476
pth,100,1,0.001,12,1.858
pth,100,1,0.001,15,1.9758
pth,800,1,0.001,5,34.7583
pth,100,1,0.001,2,2.29391
pth,100,1,0.001,3,1.75191
pth,100,1,0.001,4,1.49251
pth,100,1,0.001,5,1.08851
pth,100,1,0.001,6,1.49852
pth,100,1,0.001,7,1.46055
pth,100,1,0.001,8,1.40326
pth,100,1,0.001,9,1.51222
pth,200,1,0.001,10,3.78976
pth,200,1,0.001,12,3.78492
pth,200,1,0.001,15,4.077
pth,200,1,0.001,2,6.35515
pth,200,1,0.001,3,4.49076
pth,200,1,0.001,4,3.10918
pth,200,1,0.001,5,2.55339
pth,200,1,0.001,6,3.03324
pth,200,1,0.001,7,3.69863
pth,200,1,0.001,8,3.65686
pth,200,1,0.001,9,3.67125
pth,400,1,0.001,10,10.3498
pth,400,1,0.001,12,12.2696
pth,400,1,0.001,15,9.80256
pth,400,1,0.001,2,27.0075
pth,400,1,0.001,3,17.8937
pth,400,1,0.001,4,13.3072
pth,400,1,0.001,5,9.6013
pth,400,1,0.001,6,9.96725
pth,400,1,0.001,7,9.55237
pth,400,1,0.001,8,9.00869
pth,400,1,0.001,9,10.0821
pth,50,1,0.001,10,1.02702
pth,50,1,0.001,12,1.11186
pth,50,1,0.001,15,1.21517
pth,800,1,0.001,3,73.9452
pth,50,1,0.001,2,0.588735
pth,50,1,0.001,3,0.481931
pth,50,1,0.001,4,0.463634
pth,50,1,0.001,5,0.480282
pth,50,1,0.001,6,0.607232
pth,50,1,0.001,7,0.587953
pth,50,1,0.001,8,0.66168
pth,50,1,0.001,9,0.757021
pth,800,1,0.001,10,34.0563
pth,800,1,0.001,12,31.6524
pth,800,1,0.001,15,33.2601
pth,800,1,0.001,2,105.849
pth,800,1,0.001,4,50.6045
pth,800,1,0.001,6,38.6564
pth,800,1,0.001,7,35.3894
pth,800,1,0.001,8,33.9748
pth,800,1,0.001,9,33.978
seq,200,1,0.001,1,7.19156
mpi,200,1,0.001,4,2.36179
mpi,400,1,0.001,4,9.84709
mpi,400,1,0.001,4,8.17641
mpi,400,1,0.001,4,9.46607
mpi,50,1,0.001,4,0.163847
mpi,50,1,0.001,4,0.198258
mpi,50,1,0.001,4,0.183557
mpi,50,1,0.001,4,0.195989
mpi,50,1,0.001,4,0.451041
mpi,800,1,0.001,4,35.6986
mpi,800,1,0.001,4,35.8356
mpi,800,1,0.001,4,39.0729
mpi,800,1,0.001,4,34.9158
mpi,800,1,0.001,4,35.7054
mpi,200,1,0.001,4,1.9425
mpi,200,1,0.001,4,2.12464
mpi,50,1,0.001,4,0.184147
mpi,200,1,0.001,4,2.13188
mpi,200,1,0.001,4,2.27632
mpi,100,1,0.001,4,0.625969
mpi,100,1,0.001,4,0.629097
mpi,100,1,0.001,4,0.699932
mpi,100,1,0.001,4,0.680083
mpi,100,1,0.001,4,0.739835
mpi,200,1,0.001,4,2.0818
mpi,200,1,0.001,4,2.40815
mpi,200,1,0.001,4,2.58044
mpi,200,1,0.001,4,2.14814
mpi,200,1,0.001,4,2.37304
mpi,400,1,0.001,4,8.40351
mpi,400,1,0.001,4,8.3171
mpi,400,1,0.001,4,8.62286
mpi,400,1,0.001,4,8.21477
mpi,400,1,0.001,4,9.14797
mpi,50,1,0.001,4,0.171553
mpi,50,1,0.001,4,0.173766
mpi,50,1,0.001,4,0.196488
mpi,50,1,0.001,4,0.230985
mpi,50,1,0.001,4,0.318318
mpi,800,1,0.001,4,31.186
mpi,800,1,0.001,4,34.3012
mpi,800,1,0.001,4,35.7051
mpi,800,1,0.001,4,34.7293
mpi,800,1,0.001,4,35.6856
