run,N,period,dt,size,time
mpi,100,1,0.001,4,0.647787
mpi,100,1,0.001,4,0.638192
mpi,100,1,0.001,4,0.710907
mpi,100,1,0.001,4,0.629974
mpi,100,1,0.001,4,0.801976
mpi,200,1,0.001,4,2.1718
mpi,200,1,0.001,4,2.05025
mpi,200,1,0.001,4,2.28796
mpi,200,1,0.001,4,2.30816
mpi,200,1,0.001,4,2.6457
mpi,400,1,0.001,4,8.34412
mpi,400,1,0.001,4,8.77962
mpi,400,1,0.001,4,9.60209
mpi,400,1,0.001,4,8.76862
mpi,400,1,0.001,4,9.4992
mpi,50,1,0.001,4,0.155214
mpi,50,1,0.001,4,0.176605
mpi,50,1,0.001,4,0.181624
mpi,50,1,0.001,4,0.198592
mpi,50,1,0.001,4,0.303741
mpi,800,1,0.001,4,31.7368
mpi,800,1,0.001,4,38.3577
mpi,800,1,0.001,4,37.3077
mpi,800,1,0.001,4,32.5472
mpi,800,1,0.001,4,35.182
omp,200,1,0.001,5,20.9555
omp,200,1,0.001,5,19.2378
omp,50,1,0.001,5,10.5357
omp,200,1,0.001,5,9.52353
omp,50,1,0.001,4,0.252325
mpi,200,1,0.001,4,2.70067
omp,200,1,0.001,5,27.2398
omp,200,1,0.001,5,1.73345
mpi,200,1,0.001,4,2.00961
mpi,100,1,0.001,4,0.599338
omp,50,1,0.001,5,0.200488
omp,100,1,0.001,5,0.544847
omp,100,1,0.001,5,0.543108
omp,100,1,0.001,5,0.594414
omp,100,1,0.001,2,1.09092
omp,100,1,0.001,3,0.80894
omp,100,1,0.001,4,0.67118
omp,100,1,0.001,5,0.554002
omp,100,1,0.001,5,0.506036
omp,100,1,0.001,5,0.556381
omp,100,1,0.001,5,0.595774
omp,100,1,0.001,5,0.533051
omp,200,1,0.001,5,1.99908
omp,200,1,0.001,5,1.84043
omp,200,1,0.001,5,2.03206
omp,200,1,0.001,2,3.69875
omp,200,1,0.001,3,3.54399
omp,200,1,0.001,4,2.44371
omp,200,1,0.001,5,1.7567
omp,200,1,0.001,5,1.94972
omp,200,1,0.001,5,2.12105
omp,200,1,0.001,5,2.23785
omp,200,1,0.001,5,2.23994
omp,400,1,0.001,5,7.5084
omp,400,1,0.001,5,8.42935
omp,400,1,0.001,5,8.02172
omp,400,1,0.001,2,19.6775
omp,400,1,0.001,3,13.0473
omp,400,1,0.001,4,10.5263
omp,400,1,0.001,5,8.12269
omp,400,1,0.001,5,8.89543
omp,400,1,0.001,5,8.3998
omp,400,1,0.001,5,7.87814
omp,400,1,0.001,5,8.22962
omp,50,1,0.001,5,0.282051
omp,50,1,0.001,5,0.22969
omp,50,1,0.001,2,0.343085
omp,50,1,0.001,3,0.253763
omp,50,1,0.001,4,0.221038
omp,50,1,0.001,5,0.275747
omp,50,1,0.001,5,0.216298
omp,50,1,0.001,5,0.329928
omp,50,1,0.001,5,0.216933
omp,50,1,0.001,5,0.189836
omp,800,1,0.001,5,28.8177
omp,800,1,0.001,5,30.3301
omp,800,1,0.001,5,29.4899
omp,800,1,0.001,2,75.4953
omp,800,1,0.001,3,53.4063
omp,800,1,0.001,4,41.1671
omp,800,1,0.001,5,32.4315
omp,800,1,0.001,5,32.1962
omp,800,1,0.001,5,31.2412
omp,800,1,0.001,5,32.5851
omp,800,1,0.001,5,30.844
mpi,100,1,0.001,4,0.588257
mpi,100,1,0.001,4,0.630975
mpi,100,1,0.001,4,0.730796
mpi,100,1,0.001,4,0.635289
mpi,100,1,0.001,4,0.782948
mpi,200,1,0.001,4,2.21038
mpi,200,1,0.001,4,2.49738
mpi,200,1,0.001,4,2.41362
mpi,200,1,0.001,4,2.21807
mpi,200,1,0.001,4,2.55642
mpi,400,1,0.001,4,7.95369
mpi,400,1,0.001,4,9.39723
mpi,400,1,0.001,4,9.79426
mpi,400,1,0.001,4,8.49476
mpi,400,1,0.001,4,8.9031
mpi,50,1,0.001,4,0.172906
mpi,50,1,0.001,4,0.215915
mpi,50,1,0.001,4,0.205553
mpi,50,1,0.001,4,0.195696
mpi,50,1,0.001,4,0.349624
mpi,1600,1,0.001,10,71.2759
mpi,1600,1,0.001,11,73.5998
mpi,1600,1,0.001,12,66.0664
mpi,1600,1,0.001,16,53.0681
mpi,1600,1,0.001,18,50.8993
mpi,1600,1,0.001,5,111.994
mpi,1600,1,0.001,6,105.159
mpi,1600,1,0.001,7,95.9707
mpi,1600,1,0.001,8,82.5592
mpi,1600,1,0.001,9,79.806
mpi,200,1,0.001,10,2.68476
mpi,200,1,0.001,11,2.5753
mpi,200,1,0.001,12,2.81027
mpi,200,1,0.001,16,4.33011
mpi,200,1,0.001,18,2.6633
mpi,200,1,0.001,1,8.52136
mpi,200,1,0.001,2,4.6831
mpi,200,1,0.001,3,2.80349
mpi,200,1,0.001,4,2.49435
mpi,200,1,0.001,6,3.91749
mpi,200,1,0.001,7,4.187
mpi,200,1,0.001,8,2.65104
mpi,200,1,0.001,9,2.56494
mpi,400,1,0.001,10,5.53128
mpi,400,1,0.001,11,7.75156
mpi,400,1,0.001,12,5.69009
mpi,400,1,0.001,16,7.19215
mpi,400,1,0.001,18,4.51794
mpi,400,1,0.001,1,35.0578
mpi,400,1,0.001,2,17.0941
mpi,400,1,0.001,3,11.99
mpi,400,1,0.001,4,10.1237
mpi,400,1,0.001,5,7.26495
mpi,400,1,0.001,6,7.80337
mpi,400,1,0.001,7,6.94299
mpi,400,1,0.001,8,6.20189
mpi,400,1,0.001,9,6.02401
mpi,50,1,0.001,10,1.7359
mpi,50,1,0.001,11,2.95737
mpi,50,1,0.001,12,7.35456
mpi,50,1,0.001,16,1.79684
mpi,50,1,0.001,18,1.73534
mpi,50,1,0.001,1,0.598861
mpi,50,1,0.001,2,0.333898
mpi,50,1,0.001,3,0.233992
mpi,50,1,0.001,4,0.214395
mpi,50,1,0.001,5,0.149623
mpi,50,1,0.001,6,0.611363
mpi,50,1,0.001,7,1.35893
mpi,50,1,0.001,8,1.62804
mpi,50,1,0.001,9,1.65341
mpi,800,1,0.001,10,18.4117
mpi,800,1,0.001,11,19.2585
mpi,800,1,0.001,12,20.4859
mpi,800,1,0.001,16,16.6338
mpi,800,1,0.001,18,16.9067
mpi,800,1,0.001,2,76.9113
mpi,800,1,0.001,3,53.3943
mpi,800,1,0.001,4,40.6533
mpi,800,1,0.001,5,29.0882
mpi,800,1,0.001,6,28.8633
mpi,800,1,0.001,7,28.179
mpi,800,1,0.001,8,22.8213
mpi,800,1,0.001,9,20.7357
mpi,100,1,0.001,12,3.65556
mpi,100,1,0.001,16,9.28421
mpi,100,1,0.001,1,2.55171
mpi,100,1,0.001,2,1.39735
mpi,100,1,0.001,3,0.95647
mpi,100,1,0.001,4,0.693369
mpi,100,1,0.001,5,0.569313
mpi,100,1,0.001,6,1.61379
mpi,100,1,0.001,7,7.59779
mpi,100,1,0.001,9,2.07883
mpi,200,1,0.001,12,4.74208
mpi,200,1,0.001,16,3.83584
mpi,200,1,0.001,1,9.33656
mpi,200,1,0.001,2,5.09458
mpi,200,1,0.001,3,3.37775
mpi,200,1,0.001,4,2.76895
mpi,200,1,0.001,5,2.10302
mpi,200,1,0.001,6,2.40481
mpi,200,1,0.001,7,3.98571
mpi,200,1,0.001,9,3.64866
mpi,400,1,0.001,12,6.12814
mpi,400,1,0.001,16,5.04708
mpi,400,1,0.001,1,33.716
mpi,400,1,0.001,2,17.9283
mpi,400,1,0.001,3,14.0055
