run,length,iter,process,time
mpi,1000,1000,1,17.5148
mpi,300,1000,10,1.95595
mpi,300,1000,11,5.10006
mpi,300,1000,12,2.16129
mpi,300,1000,14,1.9866
mpi,300,1000,16,3.4581
mpi,300,1000,1,1.76036
mpi,300,1000,2,1.12402
mpi,300,1000,3,1.00863
mpi,300,1000,4,0.890982
mpi,300,1000,5,1.45138
mpi,300,1000,6,15.1175
mpi,300,1000,7,2.17646
mpi,300,1000,8,1.92816
mpi,300,1000,9,1.83066
mpi,400,1000,10,2.42955
mpi,400,1000,11,2.87259
mpi,400,1000,12,3.9813
mpi,400,1000,14,2.43099
mpi,400,1000,16,4.26723
mpi,400,1000,1,3.21749
mpi,400,1000,2,1.59867
mpi,400,1000,3,1.31756
mpi,400,1000,4,1.45299
mpi,400,1000,5,1.8462
mpi,400,1000,6,2.7053
mpi,400,1000,7,2.43488
mpi,400,1000,8,2.70086
mpi,400,1000,9,2.44395
mpi,500,1000,10,2.72268
mpi,500,1000,11,2.75671
mpi,500,1000,12,4.55612
mpi,500,1000,14,2.6799
mpi,500,1000,16,2.83857
mpi,500,1000,1,4.61084
mpi,500,1000,2,2.83162
mpi,500,1000,3,1.74652
mpi,500,1000,4,1.95055
mpi,500,1000,5,2.96705
mpi,500,1000,6,3.19967
mpi,500,1000,7,3.14028
mpi,500,1000,8,3.07926
mpi,500,1000,9,3.06816
mpi,600,1000,1,6.26428
mpi,600,1000,2,3.47507
mpi,600,1000,3,2.65156
mpi,600,1000,4,2.67127
mpi,1000,1000,10,20.5603
mpi,1000,1000,5,11.9784
mpi,1000,1000,6,15.1268
mpi,1000,1000,7,17.6639
mpi,1000,1000,8,16.1805
mpi,300,1000,10,21.3691
mpi,300,1000,11,23.1226
mpi,300,1000,12,24.6583
mpi,300,1000,14,24.1335
mpi,300,1000,16,31.6335
mpi,300,1000,1,1.73363
mpi,300,1000,2,1.251
mpi,300,1000,3,0.93405
mpi,300,1000,4,1.10871
mpi,300,1000,5,3.16505
mpi,300,1000,6,9.89732
mpi,300,1000,7,12.4773
mpi,300,1000,8,13.9406
mpi,300,1000,9,14.7206
mpi,400,1000,10,21.8567
mpi,400,1000,11,23.3855
mpi,400,1000,12,22.8512
mpi,400,1000,14,27.727
mpi,400,1000,16,31.2126
mpi,400,1000,1,3.71412
mpi,400,1000,2,1.48903
mpi,400,1000,3,1.61746
mpi,400,1000,4,1.99399
mpi,400,1000,5,3.94148
mpi,400,1000,6,9.47378
mpi,400,1000,7,12.8871
mpi,400,1000,8,13.4858
mpi,400,1000,9,23.5096
mpi,500,1000,10,23.2781
mpi,500,1000,11,24.5775
mpi,500,1000,12,25.6972
mpi,500,1000,14,25.5458
mpi,500,1000,16,30.5816
mpi,500,1000,1,4.23255
mpi,500,1000,2,2.43848
mpi,500,1000,3,2.10099
mpi,500,1000,4,2.27861
mpi,500,1000,5,4.87257
mpi,500,1000,6,8.97636
mpi,500,1000,7,14.5838
mpi,500,1000,8,17.8138
mpi,500,1000,9,17.4413
mpi,600,1000,10,21.9972
mpi,600,1000,11,21.5651
mpi,600,1000,12,24.2594
mpi,600,1000,14,27.8502
mpi,600,1000,16,30.4283
mpi,600,1000,1,5.93283
mpi,600,1000,2,2.92959
mpi,600,1000,3,2.07707
mpi,600,1000,4,2.22276
mpi,600,1000,5,2.41047
mpi,600,1000,6,6.50705
mpi,600,1000,7,12.8267
mpi,600,1000,8,18.3909
mpi,600,1000,9,24.6413
mpi,1000,1000,10,18.5699
mpi,1000,1000,11,20.9058
mpi,1000,1000,12,23.5726
mpi,1000,1000,14,25.8979
mpi,1000,1000,16,28.0104
mpi,1000,1000,1,16.1363
mpi,1000,1000,2,8.53981
mpi,1000,1000,3,6.31447
mpi,1000,1000,4,6.07806
mpi,1000,1000,5,5.90314
mpi,1000,1000,6,11.6692
mpi,1000,1000,7,14.4851
mpi,1000,1000,8,17.5841
mpi,1000,1000,9,16.1724
mpi,1500,1000,10,25.7635
mpi,1500,1000,11,24.1895
mpi,1500,1000,12,24.4215
mpi,1500,1000,14,24.0641
mpi,1500,1000,16,29.3957
mpi,1500,1000,1,35.3161
mpi,1500,1000,2,18.999
mpi,1500,1000,3,11.9928
mpi,1500,1000,4,10.6044
mpi,1500,1000,5,10.4924
mpi,1500,1000,6,16.0676
mpi,1500,1000,7,20.5894
mpi,1500,1000,8,22.3295
mpi,1500,1000,9,25.073
mpi,100,4961,10,13.6893
mpi,100,4961,11,21.8173
mpi,100,4961,12,14.833
mpi,100,4961,14,19.5813
mpi,100,4961,16,33.1381
mpi,100,4961,1,0.859481
mpi,100,4961,2,0.726946
mpi,100,4961,3,0.935613
mpi,100,4961,4,1.08786
mpi,100,4961,5,2.90105
mpi,100,4961,6,14.5765
mpi,100,4961,7,8.86345
mpi,100,4961,8,9.29744
mpi,100,4961,9,13.701
mpi,200,9890,1,8.79394
mpi,200,9890,2,5.22459
mpi,200,9890,3,5.08537
mpi,200,9890,4,4.85851
mpi,200,9890,5,8.12151
mpi,200,9890,6,28.83257
mpi,50,1901,10,5.99685
mpi,50,1901,11,6.71814
mpi,50,1901,12,5.48665
mpi,50,1901,14,6.10631
mpi,50,1901,16,5.45226
mpi,50,1901,1,0.091981
mpi,50,1901,2,0.371335
mpi,50,1901,3,0.500564
mpi,50,1901,4,0.576142
mpi,50,1901,5,0.970801
mpi,50,1901,6,3.43511
mpi,50,1901,7,7.56436
mpi,50,1901,8,4.13197
mpi,50,1901,9,5.07504
