run,length,iter,process,time
pth,100,4961,4,6.58184
pth,100,4961,4,6.6381
pth,100,4961,4,4.7057
pth,100,4961,4,7.32368
pth,100,4961,4,8.22227
pth,100,4961,4,8.74815
pth,100,4961,4,8.22905
pth,100,4961,4,8.17062
pth,100,4961,4,8.42188
pth,100,4961,4,6.52901
pth,100,4961,4,5.08969
pth,100,4961,4,6.6357
pth,100,4961,4,5.57861
pth,100,4961,4,6.26467
pth,200,9890,4,21.7129
pth,200,9890,4,17.6398
pth,200,9890,4,20.7153
pth,200,9890,4,23.3427
pth,200,9890,4,20.6434
pth,200,9890,4,20.8884
pth,200,9890,4,23.1145
pth,200,9890,4,28.0563
pth,200,9890,4,44.638
pth,200,9890,4,44.579
pth,200,9890,4,46.2291
pth,200,9890,4,45.2778
pth,200,9890,4,45.7103
pth,200,9890,4,46.245
pth,50,1901,4,8.0206
pth,50,1901,4,8.77736
pth,50,1901,4,5.12493
pth,50,1901,4,7.58862
pth,50,1901,4,7.91266
pth,50,1901,4,7.7135
pth,50,1901,4,8.9387
pth,50,1901,4,8.43703
pth,50,1901,4,8.94755
pth,50,1901,4,8.22158
pth,50,1901,4,8.10195
pth,50,1901,4,6.93109
pth,50,1901,4,8.76473
pth,50,1901,4,7.88601
pth,100,4961,10,92.1694
pth,100,4961,11,117.563
pth,100,4961,12,129.493
pth,100,4961,14,142.907
pth,100,4961,16,149.047
pth,100,4961,1,1.61199
pth,100,4961,2,3.37282
pth,100,4961,3,18.2943
pth,100,4961,4,11.5896
pth,100,4961,5,6.12214
pth,100,4961,6,24.0824
pth,100,4961,7,30.097
pth,100,4961,8,69.1698
pth,100,4961,9,111.824
pth,200,9890,10,132.352
pth,200,9890,11,180.837
pth,200,9890,12,215.241
pth,200,9890,14,260.67
pth,200,9890,16,325.893
pth,200,9890,1,7.62542
pth,200,9890,2,16.5538
pth,200,9890,3,41.188
pth,200,9890,4,47.254
pth,200,9890,5,46.5645
pth,200,9890,6,56.2231
pth,200,9890,7,60.8022
pth,200,9890,8,63.1795
pth,200,9890,9,82.9394
pth,50,1901,10,22.1185
pth,50,1901,11,30.253
pth,50,1901,12,29.2875
pth,50,1901,14,33.4378
pth,50,1901,16,27.0995
pth,50,1901,1,0.252485
pth,50,1901,2,1.64491
pth,50,1901,3,7.78409
pth,50,1901,4,8.74098
pth,50,1901,5,14.0126
pth,50,1901,6,14.002
pth,50,1901,7,17.945
pth,50,1901,8,21.0548
pth,50,1901,9,17.2865
seq,100,4961,1,0.780387
seq,200,9890,1,6.74797
seq,50,1901,1,0.107697
pth,1000,1000,4,9.41167
pth,1000,1000,4,9.97918
pth,1000,1000,4,10.0111
pth,1000,1000,4,10.3408
pth,1000,1000,4,10.3913
pth,1000,1000,4,9.7136
pth,1000,1000,4,10.0731
pth,1000,1000,4,9.53211
pth,1000,1000,4,9.435
pth,1000,1000,4,9.99844
pth,1000,1000,4,9.43977
pth,1000,1000,4,9.64734
pth,1000,1000,4,9.50316
pth,1000,1000,4,10.0068
pth,300,1000,4,4.5754
pth,300,1000,4,4.37934
pth,300,1000,4,4.38419
pth,300,1000,4,4.44699
pth,300,1000,4,4.49517
pth,300,1000,4,4.55369
pth,300,1000,4,4.68906
pth,300,1000,4,4.18259
pth,300,1000,4,4.62495
pth,300,1000,4,4.78708
pth,300,1000,4,4.61777
pth,300,1000,4,4.38143
pth,300,1000,4,4.45995
pth,300,1000,4,4.34925
pth,400,1000,4,4.37256
pth,400,1000,4,4.49832
pth,400,1000,4,4.43982
pth,400,1000,4,4.6031
pth,400,1000,4,4.67314
pth,400,1000,4,4.76757
pth,400,1000,4,4.73056
pth,400,1000,4,4.81834
pth,400,1000,4,4.50737
pth,400,1000,4,4.56485
pth,400,1000,4,4.79139
pth,400,1000,4,4.67094
pth,400,1000,4,4.48931
pth,400,1000,4,4.59763
pth,500,1000,4,5.31938
pth,500,1000,4,4.94687
pth,500,1000,4,5.02216
pth,500,1000,4,4.99969
pth,500,1000,4,5.26289
pth,500,1000,4,5.38979
pth,500,1000,4,5.08265
pth,500,1000,4,5.28179
pth,500,1000,4,4.89768
pth,500,1000,4,5.3916
pth,500,1000,4,5.07488
pth,500,1000,4,5.17634
pth,500,1000,4,5.16272
pth,500,1000,4,5.40211
pth,600,1000,4,6.23969
pth,600,1000,4,6.20309
pth,600,1000,4,6.6804
